*******************************************************************************
*** Historical Isotopic Temperature Record from the Vostok Ice Core         ***
***                                                                         *** 
*** The data available from CDIAC represent a major effort by researchers   ***
*** from France, Russia, and the U.S.A.  We ask as a professional courtesy  ***
*** (and as a condition for its use by you) that when you refer to this     ***
*** data set in publications you cite the following papers.                 ***
***                                                                         ***
***  Jouzel, J., C. Lorius, J.R. Petit, C. Genthon, N.I. Barkov,            ***
***   V.M. Kotlyakov, and V.M. Petrov. 1987.  Vostok ice core: a continuous ***
***   isotope temperature record over the last climatic cycle (160,000      ***
***   years). Nature 329:403-8.                                             ***
***                                                                         ***
***  Jouzel, J., N.I. Barkov, J.M. Barnola, M. Bender, J. Chappellaz,       ***
***   C. Genthon, V.M. Kotlyakov, V. Lipenkov, C. Lorius, J.R. Petit,       ***
***   D. Raynaud, G. Raisbeck, C. Ritz, T. Sowers, M. Stievenard, F. Yiou,  ***
***   and P. Yiou. 1993. Extending the Vostok ice-core record of            ***
***   palaeoclimate to the penultimate glacial period. Nature 364:407-12.   ***
***                                                                         ***
***  Jouzel, J., C. Waelbroeck, B. Malaize, M. Bender, J.R. Petit,          ***
***   M. Stievenard, N.I. Barkov, J.M. Barnola, T. King, V.M. Kotlyakov,    ***
***   V. Lipenkov, C. Lorius, D. Raynaud, C. Ritz, and T. Sowers. 1996.     ***
***   Climatic interpretation of the recently extended Vostok ice records.  ***
***   Climate Dynamics 12:513-521.                                          ***
***                                                                         ***
***  Petit, J.R., J. Jouzel, D. Raynaud, N.I. Barkov, J.-M. Barnola,        ***
***   I. Basile, M. Bender, J. Chappellaz, M. Davis, G. Delayque,           ***
***   M. Delmotte, V.M. Kotlyakov, M. Legrand, V.Y. Lipenkov, C. Lorius,    ***
***   L. Pepin, C. Ritz, E. Saltzman, and M. Stievenard. 1999.              ***
***   Climate and atmospheric history of the past 420,000 years from the    ***
***   Vostok ice core, Antarctica. Nature 399: 429-436.                     ***
***                                                                         ***
*** Source: J. R. Petit                                                     ***
***         D. Raynaud                                                      ***
***         C. Lorius                                                       ***
***         Laboratoire de Glaciologie et de Geophysique de l'Environnement ***
***         38402 Saint Martin d'Heres Cedex, France                        ***
***                                                                         ***
***         J. Jouzel                                                       ***
***         G. Delaygue                                                     ***
***         Laboratoire des Sciences du Climat et de l'Environment          ***
***         (UMR CEA/CNRS 1572)                                             ***
***         91191 Gif-sur-Yvette Cedex, France                              ***
***                                                                         ***
***         N. I. Barkov                                                    ***
***         Arctic and Antarctic Research Institute                         ***
***         Beringa Street 38                                               ***
***         St. Petersburg 199397, Russia                                   ***
***                                                                         ***
***         V. M. Kotlyakov                                                 ***
***         Institute of Geography                                          ***
***         Staromonetny, per 29, Moscow 109017, Russia                     ***
***                                                                         ***
*** January 2000                                                            ***
*******************************************************************************
#                   Deuterium               
#         Age of     content   Temperature
# Depth   the ice   of the ice  Variation
#  (m)    (yr BP)   (delta D)    (deg C)
# 
 698    45055       -473.6       -6.72
 699    45139       -473.4       -6.69
 700    45225       -477.7       -7.40
 701    45315       -482.3       -8.16
 702    45407       -480.8       -7.91
 703    45497       -479.2       -7.64
 704    45587       -481.0       -7.94
 705    45677       -477.6       -7.38
 706    45762       -472.6       -6.55
 707    45846       -474.9       -6.93
 708    45932       -475.4       -7.01
 709    46018       -475.5       -7.02
 710    46104       -477.7       -7.39
 711    46193       -477.7       -7.38
 712    46281       -478.2       -7.47
 713    46370       -478.5       -7.51
 714    46457       -476.3       -7.15
 715    46543       -474.1       -6.78
 716    46628       -474.8       -6.90
 717    46713       -474.9       -6.91
 718    46797       -472.3       -6.48
 719    46881       -473.7       -6.71
 720    46966       -475.0       -6.92
 721    47050       -473.5       -6.67
 722    47133       -471.2       -6.29
 723    47214       -469.0       -5.92
 724    47295       -470.5       -6.17
 725    47378       -473.9       -6.73
 726    47462       -472.8       -6.55
 727    47546       -474.2       -6.78
 728    47631       -475.5       -6.99
 729    47716       -471.7       -6.36
 730    47798       -471.2       -6.28
 731    47881       -474.0       -6.74
 732    47966       -474.7       -6.85
 733    48050       -472.3       -6.46
 734    48134       -473.5       -6.65
 735    48218       -472.5       -6.49
 736    48300       -469.7       -6.02
 737    48381       -469.9       -6.05
 738    48461       -468.4       -5.80
 739    48541       -468.6       -5.83
 740    48622       -471.2       -6.26
 741    48704       -471.8       -6.36
 742    48787       -472.5       -6.48
 743    48870       -472.0       -6.39
 744    48953       -471.1       -6.24
 745    49034       -468.2       -5.76
 746    49113       -468.3       -5.77
 747    49193       -469.0       -5.89
 748    49272       -466.7       -5.51
 749    49350       -466.7       -5.51
 750    49430       -469.0       -5.89
 751    49510       -469.5       -5.97
 752    49591       -470.1       -6.07
 753    49672       -468.3       -5.78
 754    49750       -465.4       -5.30
 755    49828       -467.1       -5.58
 756    49907       -467.2       -5.60
 757    49985       -464.7       -5.18
 758    50061       -463.8       -5.03
 759    50138       -466.3       -5.45
 760    50217       -467.8       -5.70
 761    50295       -465.8       -5.37
 762    50374       -466.8       -5.54
 763    50452       -466.8       -5.54
 764    50531       -467.5       -5.65
 765    50610       -467.0       -5.57
 766    50688       -464.7       -5.19
 767    50766       -467.9       -5.72
 768    50847       -470.0       -6.07
 769    50928       -468.9       -5.89
 770    51009       -468.0       -5.74
 771    51086       -463.0       -4.91
 772    51159       -456.1       -3.77
 773    51230       -459.5       -4.34
 774    51306       -465.8       -5.38
 775    51384       -467.1       -5.60
 776    51465       -470.8       -6.21
 777    51549       -473.1       -6.60
 778    51633       -472.1       -6.43
 779    51715       -466.3       -5.47
 780    51794       -467.0       -5.59
 781    51874       -469.6       -6.02
 782    51955       -466.8       -5.56
 783    52034       -466.8       -5.56
 784    52114       -468.3       -5.81
 785    52195       -468.5       -5.84
 786    52275       -466.7       -5.55
 787    52352       -463.6       -5.03
 788    52430       -467.0       -5.60
 789    52511       -470.2       -6.13
 790    52594       -470.8       -6.23
 791    52679       -473.7       -6.71
 792    52763       -470.3       -6.15
 793    52846       -470.0       -6.10
 794    52931       -475.0       -6.93
 795    53019       -476.5       -7.18
 796    53107       -475.8       -7.07
 797    53193       -471.5       -6.36
 798    53275       -467.2       -5.65
 799    53355       -466.6       -5.55
 800    53436       -469.6       -6.05
 801    53520       -473.2       -6.65
 802    53606       -473.2       -6.65
 803    53692       -472.6       -6.55
 804    53775       -469.5       -6.04
 805    53858       -470.6       -6.22
 806    53942       -472.2       -6.49
 807    54026       -470.1       -6.14
 808    54111       -472.9       -6.60
 809    54198       -475.6       -7.06
 810    54286       -475.0       -6.96
 811    54372       -471.6       -6.40
 812    54457       -472.4       -6.53
 813    54544       -474.0       -6.80
 814    54629       -470.2       -6.17
 815    54713       -471.3       -6.35
 816    54797       -470.9       -6.29
 817    54881       -471.3       -6.36
 818    54967       -473.4       -6.71
 819    55052       -471.0       -6.31
 820    55136       -470.1       -6.16
 821    55218       -466.6       -5.58
 822    55297       -465.1       -5.34
 823    55377       -467.0       -5.65
 824    55457       -465.6       -5.42
 825    55536       -464.3       -5.21
 826    55615       -465.6       -5.43
 827    55694       -466.3       -5.54
 828    55775       -467.9       -5.81
 829    55855       -464.4       -5.23
 830    55933       -461.8       -4.80
 831    56009       -463.5       -5.09
 832    56087       -462.7       -4.95
 833    56163       -461.2       -4.71
 834    56239       -462.5       -4.92
 835    56317       -463.6       -5.11
 836    56394       -461.5       -4.76
 837    56471       -463.5       -5.09
 838    56548       -463.5       -5.10
 839    56624       -459.0       -4.35
 840    56698       -459.4       -4.42
 841    56774       -462.2       -4.88
 842    56850       -459.7       -4.47
 843    56922       -455.1       -3.71
 844    56993       -454.9       -3.68
 845    57065       -457.9       -4.18
 846    57139       -460.1       -4.54
 847    57215       -461.2       -4.73
 848    57289       -456.9       -4.01
 849    57362       -457.1       -4.05
 850    57436       -461.9       -4.85
 851    57513       -461.9       -4.85
 852    57590       -462.0       -4.86
 853    57669       -467.5       -5.78
 854    57750       -465.9       -5.51
 855    57828       -460.7       -4.65
 856    57905       -462.7       -4.98
 857    57981       -460.7       -4.65
 858    58057       -460.5       -4.62
 859    58133       -462.2       -4.90
 860    58211       -462.6       -4.96
 861    58286       -458.4       -4.27
 862    58360       -458.1       -4.22
 863    58436       -462.4       -4.93
 864    58514       -464.1       -5.21
 865    58594       -466.8       -5.66
 866    58676       -468.0       -5.86
 867    58759       -469.2       -6.06
 868    58842       -468.4       -5.93
 869    58925       -467.9       -5.85
 870    59008       -469.1       -6.04
 871    59093       -471.3       -6.41
 872    59178       -470.7       -6.31
 873    59262       -468.0       -5.86
 874    59345       -467.9       -5.85
 875    59428       -469.0       -6.03
 876    59511       -468.0       -5.86
 877    59593       -466.0       -5.53
 878    59674       -466.0       -5.53
 879    59755       -466.0       -5.53
 880    59836       -467.7       -5.81
 881    59921       -471.8       -6.49
 882    60007       -472.0       -6.53
 883    60093       -469.7       -6.15
 884    60177       -469.5       -6.11
 885    60262       -470.0       -6.20
 886    60348       -471.5       -6.45
 887    60433       -470.6       -6.30
 888    60519       -470.5       -6.28
 889    60605       -472.0       -6.53
 890    60692       -472.3       -6.58
 891    60779       -472.5       -6.61
 892    60869       -476.7       -7.31
 893    60961       -477.7       -7.48
 894    61052       -474.7       -6.98
 895    61141       -473.7       -6.81
 896    61229       -472.0       -6.53
 897    61317       -474.1       -6.88
 898    61406       -474.0       -6.86
 899    61496       -474.8       -7.00
 900    61586       -476.4       -7.26
 901    61677       -474.0       -6.86
 902    61765       -471.8       -6.50
 903    61852       -472.4       -6.60
 904    61941       -474.8       -7.00
 905    62031       -475.4       -7.10
 906    62121       -475.1       -7.05
 907    62213       -477.5       -7.44
 908    62307       -479.2       -7.72
 909    62401       -478.7       -7.64
 910    62497       -481.4       -8.09
 911    62594       -481.0       -8.02
 912    62689       -478.9       -7.67
 913    62783       -478.1       -7.54
 914    62877       -477.9       -7.51
 915    62970       -477.9       -7.51
 916    63064       -477.9       -7.51
 917    63157       -477.9       -7.51
 918    63249       -475.5       -7.11
 919    63338       -471.4       -6.43
 920    63424       -470.4       -6.26
 921    63512       -473.9       -6.84
 922    63600       -472.8       -6.66
 923    63688       -471.3       -6.41
 924    63776       -473.8       -6.83
 925    63865       -473.8       -6.82
 926    63954       -473.6       -6.79
 927    64043       -474.5       -6.94
 928    64134       -476.5       -7.27
 929    64228       -479.1       -7.70
 930    64322       -478.2       -7.55
 931    64416       -477.3       -7.40
 932    64510       -480.4       -7.91
 933    64605       -477.5       -7.43
 934    64698       -477.9       -7.49
 935    64793       -480.8       -7.97
 936    64890       -480.5       -7.92
 937    64987       -482.0       -8.17
 938    65085       -480.9       -7.98
 939    65182       -480.7       -7.95
 940    65278       -479.6       -7.76
 941    65371       -476.5       -7.25
 942    65464       -478.0       -7.49
 943    65559       -479.3       -7.71
 944    65655       -482.0       -8.15
 945    65756       -486.2       -8.85
 946    65855       -479.6       -7.75
 947    65949       -477.5       -7.40
 948    66045       -482.4       -8.21
 949    66144       -483.0       -8.31
 950    66243       -481.5       -8.06
 951    66338       -477.1       -7.33
 952    66429       -474.4       -6.88
 953    66520       -475.6       -7.07
 954    66613       -479.6       -7.73
 955    66708       -479.8       -7.76
 956    66803       -478.5       -7.54
 957    66898       -479.7       -7.73
 958    66992       -478.0       -7.44
 959    67085       -476.7       -7.22
 960    67178       -478.2       -7.47
 961    67272       -479.2       -7.63
 962    67367       -478.6       -7.52
 963    67462       -480.3       -7.80
 964    67557       -479.8       -7.71
 965    67653       -480.7       -7.86
 966    67750       -482.5       -8.15
 967    67848       -481.9       -8.04
 968    67945       -481.0       -7.89
 969    68041       -479.0       -7.55
 970    68136       -480.5       -7.80
 971    68233       -483.4       -8.27
 972    68330       -479.7       -7.65
 973    68424       -478.5       -7.45
 974    68520       -481.9       -8.01
 975    68617       -481.5       -7.94
 976    68715       -483.1       -8.20
 977    68811       -479.5       -7.59
 978    68902       -472.1       -6.36
 979    68987       -468.8       -5.81
 980    69071       -470.7       -6.12
 981    69155       -467.7       -5.62
 982    69238       -468.5       -5.75
 983    69324       -474.2       -6.69
 984    69413       -475.6       -6.92
 985    69506       -479.4       -7.54
 986    69599       -478.1       -7.33
 987    69691       -476.0       -6.97
 988    69780       -473.5       -6.55
 989    69869       -474.7       -6.75
 990    69959       -478.1       -7.31
 991    70054       -481.3       -7.84
 992    70149       -480.6       -7.72
 993    70243       -476.6       -7.05
 994    70334       -476.8       -7.08
 995    70425       -477.9       -7.26
 996    70515       -473.5       -6.52
 997    70600       -468.4       -5.67
 998    70683       -468.4       -5.67
 999    70766       -468.4       -5.67
1000    70848       -468.4       -5.66
1001    70931       -468.4       -5.66
1002    71013       -468.7       -5.70
1003    71096       -469.0       -5.75
1004    71180       -470.1       -5.93
1005    71264       -470.5       -5.99
1006    71347       -467.2       -5.44
1007    71427       -465.5       -5.15
1008    71506       -462.2       -4.60
1009    71584       -466.4       -5.30
1010    71664       -465.8       -5.20
1011    71743       -463.5       -4.81
1012    71822       -466.8       -5.36
1013    71905       -471.5       -6.13
1014    71989       -468.0       -5.55
1015    72070       -467.0       -5.38
1016    72152       -468.9       -5.69
1017    72235       -469.6       -5.81
1018    72318       -469.7       -5.82
1019    72403       -472.5       -6.28
1020    72489       -474.0       -6.53
1021    72578       -476.2       -6.89
1022    72666       -473.2       -6.39
1023    72753       -474.7       -6.64
1024    72840       -470.7       -5.97
1025    72922       -466.6       -5.29
1026    73003       -469.5       -5.77
1027    73087       -470.9       -6.00
1028    73172       -472.8       -6.31
1029    73258       -473.6       -6.44
1030    73347       -477.6       -7.10
1031    73440       -481.9       -7.81
1032    73533       -476.8       -6.96
1033    73620       -471.6       -6.10
1034    73706       -474.7       -6.61
1035    73795       -477.8       -7.12
1036    73885       -476.2       -6.85
1037    73973       -473.8       -6.45
1038    74060       -474.5       -6.56
1039    74150       -478.2       -7.17
1040    74238       -473.0       -6.31
1041    74322       -470.6       -5.91
1042    74405       -468.9       -5.62
1043    74484       -463.6       -4.74
1044    74565       -471.4       -6.03
1045    74651       -476.8       -6.92
1046    74738       -470.5       -5.87
1047    74821       -470.4       -5.85
1048    74903       -469.4       -5.68
1049    74985       -469.0       -5.61
1050    75066       -467.8       -5.41
1051    75147       -469.7       -5.72
1052    75229       -467.9       -5.42
1053    75308       -466.1       -5.12
1054    75388       -467.3       -5.32
1055    75468       -467.9       -5.41
1056    75547       -466.2       -5.13
1057    75625       -463.4       -4.66
1058    75701       -462.6       -4.53
1059    75776       -461.8       -4.39
1060    75850       -461.6       -4.35
1061    75928       -468.0       -5.41
1062    76007       -465.5       -5.00
1063    76084       -464.5       -4.83
1064    76162       -466.9       -5.23
1065    76239       -461.7       -4.37
1066    76313       -459.8       -4.05
1067    76388       -464.3       -4.80
1068    76465       -466.0       -5.08
1069    76543       -466.5       -5.16
1070    76622       -466.9       -5.22
1071    76700       -465.1       -4.92
1072    76777       -463.6       -4.67
1073    76854       -466.1       -5.09
1074    76933       -468.6       -5.50
1075    77014       -468.4       -5.47
1076    77094       -468.1       -5.42
1077    77175       -471.0       -5.90
1078    77259       -473.6       -6.33
1079    77345       -475.9       -6.71
1080    77433       -478.5       -7.14
1081    77521       -475.2       -6.59
1082    77606       -470.5       -5.81
1083    77687       -470.2       -5.76
1084    77769       -470.5       -5.81
1085    77853       -474.4       -6.45
1086    77938       -474.8       -6.52
1087    78025       -475.4       -6.62
1088    78113       -479.4       -7.28
1089    78200       -472.0       -6.06
1090    78277       -458.5       -3.82
1091    78353       -469.9       -5.71
1092    78437       -476.4       -6.79
1093    78522       -472.4       -6.12
1094    78606       -473.6       -6.32
1095    78690       -472.0       -6.06
1096    78772       -470.3       -5.78
1097    78854       -470.9       -5.87
1098    78937       -473.1       -6.24
1099    79020       -471.1       -5.91
1100    79098       -464.4       -4.80
1101    79174       -464.4       -4.80
1102    79251       -465.6       -5.00
1103    79327       -464.2       -4.76
1104    79402       -461.6       -4.33
1105    79478       -468.2       -5.43
1106    79557       -468.6       -5.50
1107    79636       -467.0       -5.23
1108    79714       -465.2       -4.93
1109    79791       -467.3       -5.28
1110    79870       -468.1       -5.41
1111    79947       -465.3       -4.95
1112    80020       -457.5       -3.66
1113    80093       -464.8       -4.87
1114    80173       -473.9       -6.38
1115    80257       -472.3       -6.11
1116    80341       -474.0       -6.39
1117    80422       -468.1       -5.41
1118    80498       -462.3       -4.45
1119    80572       -461.1       -4.25
1120    80645       -462.0       -4.40
1121    80719       -464.1       -4.75
1122    80794       -464.1       -4.75
1123    80869       -462.6       -4.50
1124    80943       -463.6       -4.67
1125    81019       -465.2       -4.93
1126    81096       -466.8       -5.20
1127    81170       -459.8       -4.04
1128    81240       -455.3       -3.29
1129    81309       -458.8       -3.87
1130    81381       -462.3       -4.45
1131    81453       -458.9       -3.89
1132    81523       -455.5       -3.33
1133    81592       -458.3       -3.79
1134    81662       -458.3       -3.79
1135    81732       -458.4       -3.81
1136    81802       -458.0       -3.74
1137    81872       -457.9       -3.73
1138    81942       -458.5       -3.83
1139    82012       -456.4       -3.48
1140    82080       -456.9       -3.56
1141    82148       -453.6       -3.01
1142    82213       -450.7       -2.54
1143    82280       -457.4       -3.65
1144    82352       -464.6       -4.85
1145    82427       -463.0       -4.59
1146    82500       -461.3       -4.31
1147    82573       -462.6       -4.53
1148    82647       -463.9       -4.75
1149    82721       -461.0       -4.27
1150    82792       -458.0       -3.78
1151    82860       -453.9       -3.10
1152    82925       -449.8       -2.42
1153    82990       -453.1       -2.98
1154    83055       -450.7       -2.58
1155    83121       -456.0       -3.46
1156    83190       -458.7       -3.92
1157    83261       -458.8       -3.94
1158    83331       -458.8       -3.94
1159    83401       -457.3       -3.70
1160    83470       -456.8       -3.62
1161    83538       -454.7       -3.27
1162    83608       -461.4       -4.39
1163    83679       -457.3       -3.71
1164    83747       -454.4       -3.23
1165    83814       -454.2       -3.20
1166    83881       -456.2       -3.54
1167    83952       -460.9       -4.32
1168    84025       -462.8       -4.64
1169    84097       -460.5       -4.27
1170    84168       -458.3       -3.91
1171    84238       -458.3       -3.91
1172    84308       -458.3       -3.92
1173    84378       -458.8       -4.01
1174    84448       -457.3       -3.76
1175    84515       -449.8       -2.53
1176    84576       -444.4       -1.64
1177    84638       -450.5       -2.65
1178    84703       -452.7       -3.03
1179    84770       -455.1       -3.43
1180    84838       -455.4       -3.49
1181    84905       -454.2       -3.29
1182    84971       -451.9       -2.92
1183    85036       -450.2       -2.64
1184    85100       -449.2       -2.48
1185    85164       -451.8       -2.92
1186    85229       -453.0       -3.12
1187    85296       -453.6       -3.23
1188    85361       -450.3       -2.69
1189    85425       -450.0       -2.64
1190    85489       -448.9       -2.47
1191    85551       -448.1       -2.34
1192    85615       -450.3       -2.71
1193    85680       -452.0       -3.00
1194    85746       -455.2       -3.53
1195    85814       -454.5       -3.42
1196    85881       -455.1       -3.53
1197    85949       -455.0       -3.51
1198    86016       -454.2       -3.38
1199    86083       -454.2       -3.38
1200    86150       -454.2       -3.38
1201    86218       -455.7       -3.63
1202    86286       -456.5       -3.76
1203    86355       -455.8       -3.64
1204    86423       -456.6       -3.78
1205    86492       -457.4       -3.91
1206    86562       -460.0       -4.34
1207    86635       -463.2       -4.87
1208    86707       -457.9       -3.99
1209    86777       -460.1       -4.35
1210    86848       -458.8       -4.14
1211    86919       -458.7       -4.12
1212    86989       -459.0       -4.17
1213    87060       -460.4       -4.40
1214    87132       -460.9       -4.49
1215    87203       -460.3       -4.39
1216    87274       -457.1       -3.86
1217    87342       -454.7       -3.46
1218    87410       -458.9       -4.15
1219    87482       -463.0       -4.83
1220    87554       -460.1       -4.35
1221    87624       -456.8       -3.80
1222    87695       -461.3       -4.55
1223    87766       -459.7       -4.28
1224    87837       -458.8       -4.13
1225    87907       -459.3       -4.21
1226    87978       -460.7       -4.43
1227    88049       -460.7       -4.43
1228    88122       -462.9       -4.79
1229    88196       -465.0       -5.13
1230    88271       -465.0       -5.12
1231    88345       -465.0       -5.12
1232    88420       -465.0       -5.11
1233    88495       -465.0       -5.10
1234    88570       -464.8       -5.07
1235    88644       -464.6       -5.03
1236    88719       -464.9       -5.07
1237    88793       -464.1       -4.93
1238    88866       -463.7       -4.86
1239    88938       -459.1       -4.09
1240    89008       -459.2       -4.10
1241    89077       -459.3       -4.11
1242    89148       -462.6       -4.65
1243    89221       -464.2       -4.91
1244    89296       -466.8       -5.34
1245    89373       -469.4       -5.76
1246    89450       -466.2       -5.23
1247    89523       -463.0       -4.69
1248    89597       -465.5       -5.10
1249    89672       -467.5       -5.43
1250    89748       -467.5       -5.42
1251    89825       -467.5       -5.41
1252    89900       -465.4       -5.06
1253    89973       -463.2       -4.69
1254    90048       -468.8       -5.61
1255    90128       -475.3       -6.68
1256    90209       -470.9       -5.94
1257    90286       -467.3       -5.34
1258    90362       -468.8       -5.58
1259    90440       -469.7       -5.73
1260    90517       -470.0       -5.77
1261    90594       -466.5       -5.18
1262    90668       -466.1       -5.11
1263    90740       -460.4       -4.16
1264    90812       -465.5       -5.00
1265    90885       -464.3       -4.79
1266    90959       -465.7       -5.02
1267    91033       -465.6       -4.99
1268    91107       -466.8       -5.19
1269    91182       -467.0       -5.21
1270    91258       -470.1       -5.72
1271    91336       -470.7       -5.81
1272    91411       -464.2       -4.73
1273    91480       -457.0       -3.53
1274    91547       -457.5       -3.61
1275    91615       -460.2       -4.05
1276    91685       -460.7       -4.12
1277    91753       -459.1       -3.85
1278    91823       -463.7       -4.61
1279    91896       -465.2       -4.85
1280    91968       -463.6       -4.59
1281    92040       -465.1       -4.83
1282    92114       -466.7       -5.10
1283    92187       -464.4       -4.71
1284    92259       -463.4       -4.54
1285    92329       -460.1       -3.99
1286    92398       -460.9       -4.12
1287    92470       -465.8       -4.94
1288    92542       -464.8       -4.77
1289    92617       -468.9       -5.45
1290    92690       -463.7       -4.58
1291    92759       -456.1       -3.32
1292    92827       -461.9       -4.28
1293    92897       -463.0       -4.46
1294    92967       -460.6       -4.06
1295    93037       -461.1       -4.14
1296    93107       -464.0       -4.62
1297    93180       -467.2       -5.15
1298    93254       -464.5       -4.70
1299    93325       -463.2       -4.48
1300    93397       -464.5       -4.69
1301    93468       -463.0       -4.44
1302    93540       -465.9       -4.92
1303    93615       -470.1       -5.61
1304    93690       -464.5       -4.68
1305    93761       -462.0       -4.27
1306    93829       -457.1       -3.45
1307    93895       -456.0       -3.27
1308    93961       -457.1       -3.45
1309    94026       -455.9       -3.25
1310    94093       -459.7       -3.88
1311    94164       -466.3       -4.97
1312    94238       -466.3       -4.97
1313    94311       -465.5       -4.84
1314    94382       -461.2       -4.12
1315    94450       -458.4       -3.66
1316    94517       -457.5       -3.51
1317    94585       -461.4       -4.15
1318    94655       -462.6       -4.35
1319    94725       -463.2       -4.45
1320    94795       -460.8       -4.05
1321    94864       -459.7       -3.87
1322    94932       -459.3       -3.80
1323    95000       -460.3       -3.96
1324    95070       -462.9       -4.39
1325    95141       -465.2       -4.77
1326    95214       -466.0       -4.90
1327    95284       -458.4       -3.64
1328    95351       -456.9       -3.39
1329    95418       -459.9       -3.89
1330    95487       -460.6       -4.00
1331    95556       -460.6       -4.00
1332    95624       -460.6       -4.00
1333    95693       -459.7       -3.85
1334    95761       -458.8       -3.70
1335    95828       -458.8       -3.70
1336    95895       -458.8       -3.70
1337    95964       -460.6       -4.00
1338    96033       -462.4       -4.30
1339    96103       -460.3       -3.95
1340    96170       -457.6       -3.50
1341    96237       -457.6       -3.50
1342    96304       -459.4       -3.80
1343    96372       -459.8       -3.87
1344    96441       -462.0       -4.23
1345    96511       -462.7       -4.35
1346    96582       -462.3       -4.28
1347    96652       -462.7       -4.35
1348    96722       -459.9       -3.88
1349    96791       -461.8       -4.20
1350    96861       -463.7       -4.51
1351    96933       -463.7       -4.51
1352    97004       -463.7       -4.51
1353    97075       -463.1       -4.42
1354    97148       -468.1       -5.24
1355    97222       -466.0       -4.90
1356    97294       -462.7       -4.35
1357    97365       -464.0       -4.57
1358    97439       -469.4       -5.46
1359    97514       -466.5       -4.98
1360    97588       -465.9       -4.88
1361    97659       -461.3       -4.12
1362    97727       -456.7       -3.36
1363    97794       -461.2       -4.10
1364    97864       -462.0       -4.24
1365    97936       -465.5       -4.82
1366    98010       -468.9       -5.38
1367    98085       -465.8       -4.87
1368    98157       -462.8       -4.38
1369    98228       -463.6       -4.51
1370    98300       -465.6       -4.84
1371    98371       -460.1       -3.93
1372    98439       -457.5       -3.50
1373    98505       -457.5       -3.51
1374    98572       -457.5       -3.51
1375    98640       -461.2       -4.12
1376    98712       -465.0       -4.75
1377    98783       -462.8       -4.39
1378    98855       -463.8       -4.56
1379    98925       -460.4       -4.00
1380    98994       -459.2       -3.80
1381    99063       -461.4       -4.17
1382    99134       -463.9       -4.58
1383    99205       -462.5       -4.35
1384    99275       -461.1       -4.12
1385    99345       -460.8       -4.07
1386    99414       -460.5       -4.03
1387    99484       -460.4       -4.01
1388    99553       -460.0       -3.95
1389    99622       -459.8       -3.92
1390    99691       -460.8       -4.08
1391    99760       -459.6       -3.89
1392    99828       -457.2       -3.49
1393    99894       -457.2       -3.49
1394    99961       -457.2       -3.49
1395   100028       -456.9       -3.45
1396   100095       -458.1       -3.65
1397   100163       -459.2       -3.83
1398   100232       -460.7       -4.08
1399   100301       -457.7       -3.59
1400   100367       -454.8       -3.11
1401   100432       -454.8       -3.11
1402   100498       -456.5       -3.39
1403   100565       -458.2       -3.68
1404   100633       -458.2       -3.68
1405   100700       -457.8       -3.61
1406   100768       -457.3       -3.53
1407   100835       -456.6       -3.42
1408   100902       -457.9       -3.64
1409   100969       -457.2       -3.52
1410   101036       -456.5       -3.41
1411   101102       -455.8       -3.29
1412   101168       -455.1       -3.18
1413   101234       -455.1       -3.18
1414   101299       -453.9       -2.99
1415   101363       -452.6       -2.77
1416   101427       -452.0       -2.67
1417   101490       -451.4       -2.58
1418   101554       -453.7       -2.96
1419   101618       -452.8       -2.81
1420   101681       -449.5       -2.27
1421   101743       -450.1       -2.37
1422   101806       -450.8       -2.49
1423   101868       -450.0       -2.36
1424   101930       -449.2       -2.23
1425   101991       -448.4       -2.10
1426   102052       -447.6       -1.97
1427   102114       -450.3       -2.42
1428   102177       -452.9       -2.86
1429   102241       -451.5       -2.63
1430   102304       -450.2       -2.42
1431   102366       -449.2       -2.26
1432   102427       -448.3       -2.11
1433   102489       -450.5       -2.48
1434   102553       -452.7       -2.85
1435   102618       -454.1       -3.08
1436   102684       -455.5       -3.32
1437   102749       -452.5       -2.82
1438   102812       -449.5       -2.33
1439   102876       -453.1       -2.93
1440   102942       -456.8       -3.55
1441   103008       -454.0       -3.09
1442   103073       -451.1       -2.61
1443   103137       -454.6       -3.19
1444   103205       -458.1       -3.78
1445   103273       -457.4       -3.67
1446   103341       -456.7       -3.55
1447   103410       -459.6       -4.04
1448   103481       -462.5       -4.52
1449   103553       -462.1       -4.46
1450   103625       -461.8       -4.41
1451   103697       -461.8       -4.41
1452   103769       -462.3       -4.50
1453   103841       -462.0       -4.45
1454   103912       -461.1       -4.30
1455   103984       -460.7       -4.24
1456   104054       -460.2       -4.16
1457   104125       -459.9       -4.11
1458   104195       -459.5       -4.05
1459   104266       -460.5       -4.22
1460   104337       -461.6       -4.40
1461   104409       -461.4       -4.37
1462   104480       -461.1       -4.32
1463   104552       -461.1       -4.33
1464   104623       -461.1       -4.33
1465   104695       -460.6       -4.25
1466   104766       -460.1       -4.17
1467   104837       -460.1       -4.17
1468   104908       -462.2       -4.52
1469   104982       -464.2       -4.85
1470   105055       -463.0       -4.66
1471   105128       -461.9       -4.48
1472   105200       -460.7       -4.28
1473   105271       -459.6       -4.10
1474   105342       -460.2       -4.20
1475   105413       -460.7       -4.29
1476   105485       -462.0       -4.51
1477   105559       -463.2       -4.71
1478   105631       -460.9       -4.33
1479   105702       -458.5       -3.93
1480   105772       -458.5       -3.93
