 Entrer le temps:
    0.24500000000000
   i       r         u         rho         p          e
  367  3.579E-01  5.027E-01  6.415E-01  5.371E-01  2.093E+00
  368  3.589E-01  5.060E-01  6.395E-01  5.348E-01  2.091E+00
  369  3.599E-01  5.094E-01  6.375E-01  5.325E-01  2.088E+00
  370  3.608E-01  5.127E-01  6.356E-01  5.302E-01  2.085E+00
  371  3.618E-01  5.160E-01  6.336E-01  5.279E-01  2.083E+00
  372  3.628E-01  5.193E-01  6.317E-01  5.256E-01  2.080E+00
  373  3.638E-01  5.226E-01  6.297E-01  5.234E-01  2.078E+00
  374  3.647E-01  5.260E-01  6.278E-01  5.211E-01  2.075E+00
  375  3.657E-01  5.293E-01  6.259E-01  5.189E-01  2.073E+00
  376  3.667E-01  5.326E-01  6.239E-01  5.167E-01  2.070E+00
  377  3.677E-01  5.359E-01  6.220E-01  5.144E-01  2.068E+00
  378  3.687E-01  5.393E-01  6.201E-01  5.122E-01  2.065E+00
  379  3.696E-01  5.426E-01  6.182E-01  5.100E-01  2.062E+00
  380  3.706E-01  5.459E-01  6.163E-01  5.078E-01  2.060E+00
  381  3.716E-01  5.492E-01  6.144E-01  5.056E-01  2.057E+00
  382  3.726E-01  5.525E-01  6.125E-01  5.034E-01  2.055E+00
  383  3.735E-01  5.559E-01  6.106E-01  5.012E-01  2.052E+00
  384  3.745E-01  5.592E-01  6.087E-01  4.991E-01  2.050E+00
  385  3.755E-01  5.625E-01  6.068E-01  4.969E-01  2.047E+00
  386  3.765E-01  5.658E-01  6.049E-01  4.947E-01  2.045E+00
  387  3.774E-01  5.691E-01  6.031E-01  4.926E-01  2.042E+00
  388  3.784E-01  5.725E-01  6.012E-01  4.905E-01  2.040E+00
  389  3.794E-01  5.758E-01  5.993E-01  4.883E-01  2.037E+00
  390  3.804E-01  5.791E-01  5.975E-01  4.862E-01  2.035E+00
  391  3.813E-01  5.824E-01  5.956E-01  4.841E-01  2.032E+00
  392  3.823E-01  5.858E-01  5.937E-01  4.820E-01  2.029E+00
  393  3.833E-01  5.891E-01  5.919E-01  4.799E-01  2.027E+00
  394  3.843E-01  5.924E-01  5.901E-01  4.778E-01  2.024E+00
  395  3.853E-01  5.957E-01  5.882E-01  4.757E-01  2.022E+00
  396  3.862E-01  5.990E-01  5.864E-01  4.736E-01  2.019E+00
  397  3.872E-01  6.024E-01  5.845E-01  4.716E-01  2.017E+00
  398  3.882E-01  6.057E-01  5.827E-01  4.695E-01  2.014E+00
  399  3.892E-01  6.090E-01  5.809E-01  4.675E-01  2.012E+00
  400  3.901E-01  6.123E-01  5.791E-01  4.654E-01  2.009E+00
  401  3.911E-01  6.157E-01  5.773E-01  4.634E-01  2.007E+00
  402  3.921E-01  6.190E-01  5.755E-01  4.614E-01  2.004E+00
  403  3.931E-01  6.223E-01  5.737E-01  4.593E-01  2.002E+00
  404  3.940E-01  6.256E-01  5.719E-01  4.573E-01  1.999E+00
  405  3.950E-01  6.289E-01  5.701E-01  4.553E-01  1.997E+00
  406  3.960E-01  6.323E-01  5.683E-01  4.533E-01  1.994E+00
  407  3.970E-01  6.356E-01  5.665E-01  4.513E-01  1.992E+00
  408  3.979E-01  6.389E-01  5.647E-01  4.493E-01  1.989E+00
  409  3.989E-01  6.422E-01  5.630E-01  4.474E-01  1.987E+00
  410  3.999E-01  6.455E-01  5.612E-01  4.454E-01  1.984E+00
  411  4.009E-01  6.489E-01  5.594E-01  4.434E-01  1.982E+00
  412  4.019E-01  6.522E-01  5.577E-01  4.415E-01  1.979E+00
  413  4.028E-01  6.555E-01  5.559E-01  4.395E-01  1.977E+00
  414  4.038E-01  6.588E-01  5.541E-01  4.376E-01  1.974E+00
  415  4.048E-01  6.622E-01  5.524E-01  4.357E-01  1.972E+00
  416  4.058E-01  6.655E-01  5.507E-01  4.337E-01  1.969E+00
  417  4.067E-01  6.688E-01  5.489E-01  4.318E-01  1.967E+00
  418  4.077E-01  6.721E-01  5.472E-01  4.299E-01  1.964E+00
  419  4.087E-01  6.754E-01  5.454E-01  4.280E-01  1.962E+00
  420  4.097E-01  6.788E-01  5.437E-01  4.261E-01  1.959E+00
  421  4.106E-01  6.821E-01  5.420E-01  4.242E-01  1.957E+00
  422  4.116E-01  6.854E-01  5.403E-01  4.223E-01  1.954E+00
  423  4.126E-01  6.887E-01  5.386E-01  4.205E-01  1.952E+00
  424  4.136E-01  6.920E-01  5.369E-01  4.186E-01  1.949E+00
  425  4.146E-01  6.954E-01  5.352E-01  4.167E-01  1.947E+00
  426  4.155E-01  6.987E-01  5.335E-01  4.149E-01  1.944E+00
  427  4.165E-01  7.020E-01  5.318E-01  4.130E-01  1.942E+00
  428  4.175E-01  7.053E-01  5.301E-01  4.112E-01  1.939E+00
  429  4.185E-01  7.087E-01  5.284E-01  4.094E-01  1.937E+00
  430  4.194E-01  7.120E-01  5.267E-01  4.076E-01  1.934E+00
  431  4.204E-01  7.153E-01  5.250E-01  4.057E-01  1.932E+00
  432  4.214E-01  7.186E-01  5.233E-01  4.039E-01  1.930E+00
  433  4.224E-01  7.219E-01  5.217E-01  4.021E-01  1.927E+00
  434  4.233E-01  7.253E-01  5.200E-01  4.003E-01  1.925E+00
  435  4.243E-01  7.286E-01  5.183E-01  3.985E-01  1.922E+00
  436  4.253E-01  7.319E-01  5.167E-01  3.968E-01  1.920E+00
  437  4.263E-01  7.352E-01  5.150E-01  3.950E-01  1.917E+00
  438  4.272E-01  7.386E-01  5.134E-01  3.932E-01  1.915E+00
  439  4.282E-01  7.419E-01  5.117E-01  3.914E-01  1.912E+00
  440  4.292E-01  7.452E-01  5.101E-01  3.897E-01  1.910E+00
  441  4.302E-01  7.485E-01  5.085E-01  3.879E-01  1.907E+00
  442  4.312E-01  7.518E-01  5.068E-01  3.862E-01  1.905E+00
  443  4.321E-01  7.552E-01  5.052E-01  3.845E-01  1.903E+00
  444  4.331E-01  7.585E-01  5.036E-01  3.827E-01  1.900E+00
  445  4.341E-01  7.618E-01  5.020E-01  3.810E-01  1.898E+00
  446  4.351E-01  7.651E-01  5.003E-01  3.793E-01  1.895E+00
  447  4.360E-01  7.684E-01  4.987E-01  3.776E-01  1.893E+00
  448  4.370E-01  7.718E-01  4.971E-01  3.759E-01  1.890E+00
  449  4.380E-01  7.751E-01  4.955E-01  3.742E-01  1.888E+00
  450  4.390E-01  7.784E-01  4.939E-01  3.725E-01  1.885E+00
  451  4.399E-01  7.817E-01  4.923E-01  3.708E-01  1.883E+00
  452  4.409E-01  7.851E-01  4.907E-01  3.691E-01  1.881E+00
  453  4.419E-01  7.884E-01  4.892E-01  3.675E-01  1.878E+00
  454  4.429E-01  7.917E-01  4.876E-01  3.658E-01  1.876E+00
  455  4.438E-01  7.950E-01  4.860E-01  3.642E-01  1.873E+00
  456  4.448E-01  7.983E-01  4.844E-01  3.625E-01  1.871E+00
  457  4.458E-01  8.017E-01  4.828E-01  3.609E-01  1.868E+00
  458  4.468E-01  8.050E-01  4.813E-01  3.592E-01  1.866E+00
  459  4.478E-01  8.083E-01  4.797E-01  3.576E-01  1.864E+00
  460  4.487E-01  8.116E-01  4.782E-01  3.560E-01  1.861E+00
  461  4.497E-01  8.149E-01  4.766E-01  3.543E-01  1.859E+00
  462  4.507E-01  8.183E-01  4.751E-01  3.527E-01  1.856E+00
  463  4.517E-01  8.216E-01  4.735E-01  3.511E-01  1.854E+00
  464  4.526E-01  8.249E-01  4.720E-01  3.495E-01  1.851E+00
  465  4.536E-01  8.282E-01  4.704E-01  3.479E-01  1.849E+00
  466  4.546E-01  8.316E-01  4.689E-01  3.463E-01  1.847E+00
  467  4.556E-01  8.349E-01  4.674E-01  3.448E-01  1.844E+00
  468  4.565E-01  8.382E-01  4.658E-01  3.432E-01  1.842E+00
  469  4.575E-01  8.415E-01  4.643E-01  3.416E-01  1.839E+00
  470  4.585E-01  8.448E-01  4.628E-01  3.401E-01  1.837E+00
  471  4.595E-01  8.482E-01  4.613E-01  3.385E-01  1.835E+00
  472  4.604E-01  8.515E-01  4.598E-01  3.370E-01  1.832E+00
  473  4.614E-01  8.548E-01  4.583E-01  3.354E-01  1.830E+00
  474  4.624E-01  8.581E-01  4.568E-01  3.339E-01  1.827E+00
  475  4.634E-01  8.615E-01  4.553E-01  3.323E-01  1.825E+00
  476  4.644E-01  8.648E-01  4.538E-01  3.308E-01  1.823E+00
  477  4.653E-01  8.681E-01  4.523E-01  3.293E-01  1.820E+00
  478  4.663E-01  8.714E-01  4.508E-01  3.278E-01  1.818E+00
  479  4.673E-01  8.747E-01  4.493E-01  3.263E-01  1.815E+00
  480  4.683E-01  8.781E-01  4.478E-01  3.248E-01  1.813E+00
  481  4.692E-01  8.814E-01  4.464E-01  3.233E-01  1.811E+00
  482  4.702E-01  8.847E-01  4.449E-01  3.218E-01  1.808E+00
  483  4.712E-01  8.880E-01  4.434E-01  3.203E-01  1.806E+00
  484  4.722E-01  8.913E-01  4.420E-01  3.188E-01  1.803E+00
  485  4.731E-01  8.947E-01  4.405E-01  3.174E-01  1.801E+00
  486  4.741E-01  8.980E-01  4.391E-01  3.159E-01  1.799E+00
  487  4.751E-01  9.013E-01  4.376E-01  3.144E-01  1.796E+00
  488  4.761E-01  9.046E-01  4.362E-01  3.130E-01  1.794E+00
  489  4.771E-01  9.080E-01  4.347E-01  3.115E-01  1.792E+00
  490  4.780E-01  9.113E-01  4.333E-01  3.101E-01  1.789E+00
  491  4.790E-01  9.146E-01  4.318E-01  3.086E-01  1.787E+00
  492  4.800E-01  9.179E-01  4.304E-01  3.072E-01  1.784E+00
  493  4.810E-01  9.212E-01  4.290E-01  3.058E-01  1.782E+00
  494  4.819E-01  9.246E-01  4.276E-01  3.044E-01  1.780E+00
  495  4.829E-01  9.275E-01  4.263E-01  3.031E-01  1.778E+00
  496  4.839E-01  9.275E-01  4.263E-01  3.031E-01  1.778E+00
  497  4.849E-01  9.275E-01  4.263E-01  3.031E-01  1.778E+00
  498  4.858E-01  9.275E-01  4.263E-01  3.031E-01  1.778E+00
  499  4.868E-01  9.275E-01  4.263E-01  3.031E-01  1.778E+00
  500  4.878E-01  9.275E-01  4.263E-01  3.031E-01  1.778E+00
  501  4.888E-01  9.275E-01  4.263E-01  3.031E-01  1.778E+00
  502  4.897E-01  9.275E-01  4.263E-01  3.031E-01  1.778E+00
  503  4.907E-01  9.275E-01  4.263E-01  3.031E-01  1.778E+00
  504  4.917E-01  9.275E-01  4.263E-01  3.031E-01  1.778E+00
  505  4.927E-01  9.275E-01  4.263E-01  3.031E-01  1.778E+00
  506  4.937E-01  9.275E-01  4.263E-01  3.031E-01  1.778E+00
  507  4.946E-01  9.275E-01  4.263E-01  3.031E-01  1.778E+00
  508  4.956E-01  9.275E-01  4.263E-01  3.031E-01  1.778E+00
  509  4.966E-01  9.275E-01  4.263E-01  3.031E-01  1.778E+00
  510  4.976E-01  9.275E-01  4.263E-01  3.031E-01  1.778E+00
  511  4.985E-01  9.275E-01  4.263E-01  3.031E-01  1.778E+00
  512  4.995E-01  9.275E-01  4.263E-01  3.031E-01  1.778E+00
  513  5.005E-01  9.275E-01  4.263E-01  3.031E-01  1.778E+00
  514  5.015E-01  9.275E-01  4.263E-01  3.031E-01  1.778E+00
  515  5.024E-01  9.275E-01  4.263E-01  3.031E-01  1.778E+00
  516  5.034E-01  9.275E-01  4.263E-01  3.031E-01  1.778E+00
  517  5.044E-01  9.275E-01  4.263E-01  3.031E-01  1.778E+00
  518  5.054E-01  9.275E-01  4.263E-01  3.031E-01  1.778E+00
  519  5.063E-01  9.275E-01  4.263E-01  3.031E-01  1.778E+00
  520  5.073E-01  9.275E-01  4.263E-01  3.031E-01  1.778E+00
  521  5.083E-01  9.275E-01  4.263E-01  3.031E-01  1.778E+00
  522  5.093E-01  9.275E-01  4.263E-01  3.031E-01  1.778E+00
  523  5.103E-01  9.275E-01  4.263E-01  3.031E-01  1.778E+00
  524  5.112E-01  9.275E-01  4.263E-01  3.031E-01  1.778E+00
  525  5.122E-01  9.275E-01  4.263E-01  3.031E-01  1.778E+00
  526  5.132E-01  9.275E-01  4.263E-01  3.031E-01  1.778E+00
  527  5.142E-01  9.275E-01  4.263E-01  3.031E-01  1.778E+00
  528  5.151E-01  9.275E-01  4.263E-01  3.031E-01  1.778E+00
  529  5.161E-01  9.275E-01  4.263E-01  3.031E-01  1.778E+00
  530  5.171E-01  9.275E-01  4.263E-01  3.031E-01  1.778E+00
  531  5.181E-01  9.275E-01  4.263E-01  3.031E-01  1.778E+00
  532  5.190E-01  9.275E-01  4.263E-01  3.031E-01  1.778E+00
  533  5.200E-01  9.275E-01  4.263E-01  3.031E-01  1.778E+00
  534  5.210E-01  9.275E-01  4.263E-01  3.031E-01  1.778E+00
  535  5.220E-01  9.275E-01  4.263E-01  3.031E-01  1.778E+00
  536  5.229E-01  9.275E-01  4.263E-01  3.031E-01  1.778E+00
  537  5.239E-01  9.275E-01  4.263E-01  3.031E-01  1.778E+00
  538  5.249E-01  9.275E-01  4.263E-01  3.031E-01  1.778E+00
  539  5.259E-01  9.275E-01  4.263E-01  3.031E-01  1.778E+00
  540  5.269E-01  9.275E-01  4.263E-01  3.031E-01  1.778E+00
  541  5.278E-01  9.275E-01  4.263E-01  3.031E-01  1.778E+00
  542  5.288E-01  9.275E-01  4.263E-01  3.031E-01  1.778E+00
  543  5.298E-01  9.275E-01  4.263E-01  3.031E-01  1.778E+00
  544  5.308E-01  9.275E-01  4.263E-01  3.031E-01  1.778E+00
  545  5.317E-01  9.275E-01  4.263E-01  3.031E-01  1.778E+00
  546  5.327E-01  9.275E-01  4.263E-01  3.031E-01  1.778E+00
  547  5.337E-01  9.275E-01  4.263E-01  3.031E-01  1.778E+00
  548  5.347E-01  9.275E-01  4.263E-01  3.031E-01  1.778E+00
  549  5.356E-01  9.275E-01  4.263E-01  3.031E-01  1.778E+00
  550  5.366E-01  9.275E-01  4.263E-01  3.031E-01  1.778E+00
  551  5.376E-01  9.275E-01  4.263E-01  3.031E-01  1.778E+00
  552  5.386E-01  9.275E-01  4.263E-01  3.031E-01  1.778E+00
  553  5.396E-01  9.275E-01  4.263E-01  3.031E-01  1.778E+00
  554  5.405E-01  9.275E-01  4.263E-01  3.031E-01  1.778E+00
  555  5.415E-01  9.275E-01  4.263E-01  3.031E-01  1.778E+00
  556  5.425E-01  9.275E-01  4.263E-01  3.031E-01  1.778E+00
  557  5.435E-01  9.275E-01  4.263E-01  3.031E-01  1.778E+00
  558  5.444E-01  9.275E-01  4.263E-01  3.031E-01  1.778E+00
  559  5.454E-01  9.275E-01  4.263E-01  3.031E-01  1.778E+00
  560  5.464E-01  9.275E-01  4.263E-01  3.031E-01  1.778E+00
  561  5.474E-01  9.275E-01  4.263E-01  3.031E-01  1.778E+00
  562  5.483E-01  9.275E-01  4.263E-01  3.031E-01  1.778E+00
  563  5.493E-01  9.275E-01  4.263E-01  3.031E-01  1.778E+00
  564  5.503E-01  9.275E-01  4.263E-01  3.031E-01  1.778E+00
  565  5.513E-01  9.275E-01  4.263E-01  3.031E-01  1.778E+00
  566  5.522E-01  9.275E-01  4.263E-01  3.031E-01  1.778E+00
  567  5.532E-01  9.275E-01  4.263E-01  3.031E-01  1.778E+00
  568  5.542E-01  9.275E-01  4.263E-01  3.031E-01  1.778E+00
  569  5.552E-01  9.275E-01  4.263E-01  3.031E-01  1.778E+00
  570  5.562E-01  9.275E-01  4.263E-01  3.031E-01  1.778E+00
  571  5.571E-01  9.275E-01  4.263E-01  3.031E-01  1.778E+00
  572  5.581E-01  9.275E-01  4.263E-01  3.031E-01  1.778E+00
  573  5.591E-01  9.275E-01  4.263E-01  3.031E-01  1.778E+00
  574  5.601E-01  9.275E-01  4.263E-01  3.031E-01  1.778E+00
  575  5.610E-01  9.275E-01  4.263E-01  3.031E-01  1.778E+00
  576  5.620E-01  9.275E-01  4.263E-01  3.031E-01  1.778E+00
  577  5.630E-01  9.275E-01  4.263E-01  3.031E-01  1.778E+00
  578  5.640E-01  9.275E-01  4.263E-01  3.031E-01  1.778E+00
  579  5.649E-01  9.275E-01  4.263E-01  3.031E-01  1.778E+00
  580  5.659E-01  9.275E-01  4.263E-01  3.031E-01  1.778E+00
  581  5.669E-01  9.275E-01  4.263E-01  3.031E-01  1.778E+00
  582  5.679E-01  9.275E-01  4.263E-01  3.031E-01  1.778E+00
  583  5.688E-01  9.275E-01  4.263E-01  3.031E-01  1.778E+00
  584  5.698E-01  9.275E-01  4.263E-01  3.031E-01  1.778E+00
  585  5.708E-01  9.275E-01  4.263E-01  3.031E-01  1.778E+00
  586  5.718E-01  9.275E-01  4.263E-01  3.031E-01  1.778E+00
  587  5.728E-01  9.275E-01  4.263E-01  3.031E-01  1.778E+00
  588  5.737E-01  9.275E-01  4.263E-01  3.031E-01  1.778E+00
  589  5.747E-01  9.275E-01  4.263E-01  3.031E-01  1.778E+00
  590  5.757E-01  9.275E-01  4.263E-01  3.031E-01  1.778E+00
  591  5.767E-01  9.275E-01  4.263E-01  3.031E-01  1.778E+00
  592  5.776E-01  9.275E-01  4.263E-01  3.031E-01  1.778E+00
  593  5.786E-01  9.275E-01  4.263E-01  3.031E-01  1.778E+00
  594  5.796E-01  9.275E-01  4.263E-01  3.031E-01  1.778E+00
  595  5.806E-01  9.275E-01  4.263E-01  3.031E-01  1.778E+00
  596  5.815E-01  9.275E-01  4.263E-01  3.031E-01  1.778E+00
  597  5.825E-01  9.275E-01  4.263E-01  3.031E-01  1.778E+00
  598  5.835E-01  9.275E-01  4.263E-01  3.031E-01  1.778E+00
  599  5.845E-01  9.275E-01  4.263E-01  3.031E-01  1.778E+00
  600  5.854E-01  9.275E-01  4.263E-01  3.031E-01  1.778E+00
  601  5.864E-01  9.275E-01  4.263E-01  3.031E-01  1.778E+00
  602  5.874E-01  9.275E-01  4.263E-01  3.031E-01  1.778E+00
  603  5.884E-01  9.275E-01  4.263E-01  3.031E-01  1.778E+00
  604  5.894E-01  9.275E-01  4.263E-01  3.031E-01  1.778E+00
  605  5.903E-01  9.275E-01  4.263E-01  3.031E-01  1.778E+00
  606  5.913E-01  9.275E-01  4.263E-01  3.031E-01  1.778E+00
  607  5.923E-01  9.275E-01  4.263E-01  3.031E-01  1.778E+00
  608  5.933E-01  9.275E-01  4.263E-01  3.031E-01  1.778E+00
  609  5.942E-01  9.275E-01  4.263E-01  3.031E-01  1.778E+00
  610  5.952E-01  9.275E-01  4.263E-01  3.031E-01  1.778E+00
  611  5.962E-01  9.275E-01  4.263E-01  3.031E-01  1.778E+00
  612  5.972E-01  9.275E-01  4.263E-01  3.031E-01  1.778E+00
  613  5.981E-01  9.275E-01  4.263E-01  3.031E-01  1.778E+00
  614  5.991E-01  9.275E-01  4.263E-01  3.031E-01  1.778E+00
  615  6.001E-01  9.275E-01  4.263E-01  3.031E-01  1.778E+00
  616  6.011E-01  9.275E-01  4.263E-01  3.031E-01  1.778E+00
  617  6.021E-01  9.275E-01  4.263E-01  3.031E-01  1.778E+00
  618  6.030E-01  9.275E-01  4.263E-01  3.031E-01  1.778E+00
  619  6.040E-01  9.275E-01  4.263E-01  3.031E-01  1.778E+00
  620  6.050E-01  9.275E-01  4.263E-01  3.031E-01  1.778E+00
  621  6.060E-01  9.275E-01  4.263E-01  3.031E-01  1.778E+00
  622  6.069E-01  9.275E-01  4.263E-01  3.031E-01  1.778E+00
  623  6.079E-01  9.275E-01  4.263E-01  3.031E-01  1.778E+00
  624  6.089E-01  9.275E-01  4.263E-01  3.031E-01  1.778E+00
  625  6.099E-01  9.275E-01  4.263E-01  3.031E-01  1.778E+00
  626  6.108E-01  9.275E-01  4.263E-01  3.031E-01  1.778E+00
  627  6.118E-01  9.275E-01  4.263E-01  3.031E-01  1.778E+00
  628  6.128E-01  9.275E-01  4.263E-01  3.031E-01  1.778E+00
  629  6.138E-01  9.275E-01  4.263E-01  3.031E-01  1.778E+00
  630  6.147E-01  9.275E-01  4.263E-01  3.031E-01  1.778E+00
  631  6.157E-01  9.275E-01  4.263E-01  3.031E-01  1.778E+00
  632  6.167E-01  9.275E-01  4.263E-01  3.031E-01  1.778E+00
  633  6.177E-01  9.275E-01  4.263E-01  3.031E-01  1.778E+00
  634  6.187E-01  9.275E-01  4.263E-01  3.031E-01  1.778E+00
  635  6.196E-01  9.275E-01  4.263E-01  3.031E-01  1.778E+00
  636  6.206E-01  9.275E-01  4.263E-01  3.031E-01  1.778E+00
  637  6.216E-01  9.275E-01  4.263E-01  3.031E-01  1.778E+00
  638  6.226E-01  9.275E-01  4.263E-01  3.031E-01  1.778E+00
  639  6.235E-01  9.275E-01  4.263E-01  3.031E-01  1.778E+00
  640  6.245E-01  9.275E-01  4.263E-01  3.031E-01  1.778E+00
  641  6.255E-01  9.275E-01  4.263E-01  3.031E-01  1.778E+00
  642  6.265E-01  9.275E-01  4.263E-01  3.031E-01  1.778E+00
  643  6.274E-01  9.275E-01  4.263E-01  3.031E-01  1.778E+00
  644  6.284E-01  9.275E-01  4.263E-01  3.031E-01  1.778E+00
  645  6.294E-01  9.275E-01  4.263E-01  3.031E-01  1.778E+00
  646  6.304E-01  9.275E-01  4.263E-01  3.031E-01  1.778E+00
  647  6.313E-01  9.275E-01  4.263E-01  3.031E-01  1.778E+00
  648  6.323E-01  9.275E-01  4.263E-01  3.031E-01  1.778E+00
  649  6.333E-01  9.275E-01  4.263E-01  3.031E-01  1.778E+00
  650  6.343E-01  9.275E-01  4.263E-01  3.031E-01  1.778E+00
  651  6.353E-01  9.275E-01  4.263E-01  3.031E-01  1.778E+00
  652  6.362E-01  9.275E-01  4.263E-01  3.031E-01  1.778E+00
  653  6.372E-01  9.275E-01  4.263E-01  3.031E-01  1.778E+00
  654  6.382E-01  9.275E-01  4.263E-01  3.031E-01  1.778E+00
  655  6.392E-01  9.275E-01  4.263E-01  3.031E-01  1.778E+00
  656  6.401E-01  9.275E-01  4.263E-01  3.031E-01  1.778E+00
  657  6.411E-01  9.275E-01  4.263E-01  3.031E-01  1.778E+00
  658  6.421E-01  9.275E-01  4.263E-01  3.031E-01  1.778E+00
  659  6.431E-01  9.275E-01  4.263E-01  3.031E-01  1.778E+00
  660  6.440E-01  9.275E-01  4.263E-01  3.031E-01  1.778E+00
  661  6.450E-01  9.275E-01  4.263E-01  3.031E-01  1.778E+00
  662  6.460E-01  9.275E-01  4.263E-01  3.031E-01  1.778E+00
  663  6.470E-01  9.275E-01  4.263E-01  3.031E-01  1.778E+00
  664  6.479E-01  9.275E-01  4.263E-01  3.031E-01  1.778E+00
  665  6.489E-01  9.275E-01  4.263E-01  3.031E-01  1.778E+00
  666  6.499E-01  9.275E-01  4.263E-01  3.031E-01  1.778E+00
  667  6.509E-01  9.275E-01  4.263E-01  3.031E-01  1.778E+00
  668  6.519E-01  9.275E-01  4.263E-01  3.031E-01  1.778E+00
  669  6.528E-01  9.275E-01  4.263E-01  3.031E-01  1.778E+00
  670  6.538E-01  9.275E-01  4.263E-01  3.031E-01  1.778E+00
  671  6.548E-01  9.275E-01  4.263E-01  3.031E-01  1.778E+00
  672  6.558E-01  9.275E-01  4.263E-01  3.031E-01  1.778E+00
  673  6.567E-01  9.275E-01  4.263E-01  3.031E-01  1.778E+00
  674  6.577E-01  9.275E-01  4.263E-01  3.031E-01  1.778E+00
  675  6.587E-01  9.275E-01  4.263E-01  3.031E-01  1.778E+00
  676  6.597E-01  9.275E-01  4.263E-01  3.031E-01  1.778E+00
  677  6.606E-01  9.275E-01  4.263E-01  3.031E-01  1.778E+00
  678  6.616E-01  9.275E-01  4.263E-01  3.031E-01  1.778E+00
  679  6.626E-01  9.275E-01  4.263E-01  3.031E-01  1.778E+00
  680  6.636E-01  9.275E-01  4.263E-01  3.031E-01  1.778E+00
  681  6.646E-01  9.275E-01  4.263E-01  3.031E-01  1.778E+00
  682  6.655E-01  9.275E-01  4.263E-01  3.031E-01  1.778E+00
  683  6.665E-01  9.275E-01  4.263E-01  3.031E-01  1.778E+00
  684  6.675E-01  9.275E-01  4.263E-01  3.031E-01  1.778E+00
  685  6.685E-01  9.275E-01  4.263E-01  3.031E-01  1.778E+00
  686  6.694E-01  9.275E-01  4.263E-01  3.031E-01  1.778E+00
  687  6.704E-01  9.275E-01  4.263E-01  3.031E-01  1.778E+00
  688  6.714E-01  9.275E-01  4.263E-01  3.031E-01  1.778E+00
  689  6.724E-01  9.275E-01  4.263E-01  3.031E-01  1.778E+00
  690  6.733E-01  9.275E-01  4.263E-01  3.031E-01  1.778E+00
  691  6.743E-01  9.275E-01  4.263E-01  3.031E-01  1.778E+00
  692  6.753E-01  9.275E-01  4.263E-01  3.031E-01  1.778E+00
  693  6.763E-01  9.275E-01  4.263E-01  3.031E-01  1.778E+00
  694  6.772E-01  9.275E-01  4.263E-01  3.031E-01  1.778E+00
  695  6.782E-01  9.275E-01  4.263E-01  3.031E-01  1.778E+00
  696  6.792E-01  9.275E-01  4.263E-01  3.031E-01  1.778E+00
  697  6.802E-01  9.275E-01  4.263E-01  3.031E-01  1.778E+00
  698  6.812E-01  9.275E-01  4.263E-01  3.031E-01  1.778E+00
  699  6.821E-01  9.275E-01  4.263E-01  3.031E-01  1.778E+00
  700  6.831E-01  9.275E-01  4.263E-01  3.031E-01  1.778E+00
  701  6.841E-01  9.275E-01  4.263E-01  3.031E-01  1.778E+00
  702  6.851E-01  9.275E-01  4.263E-01  3.031E-01  1.778E+00
  703  6.860E-01  9.275E-01  4.263E-01  3.031E-01  1.778E+00
  704  6.870E-01  9.275E-01  4.263E-01  3.031E-01  1.778E+00
  705  6.880E-01  9.275E-01  4.263E-01  3.031E-01  1.778E+00
  706  6.890E-01  9.275E-01  4.263E-01  3.031E-01  1.778E+00
  707  6.899E-01  9.275E-01  4.263E-01  3.031E-01  1.778E+00
  708  6.909E-01  9.275E-01  4.263E-01  3.031E-01  1.778E+00
  709  6.919E-01  9.275E-01  4.263E-01  3.031E-01  1.778E+00
  710  6.929E-01  9.275E-01  4.263E-01  3.031E-01  1.778E+00
  711  6.938E-01  9.275E-01  4.263E-01  3.031E-01  1.778E+00
  712  6.948E-01  9.275E-01  4.263E-01  3.031E-01  1.778E+00
  713  6.958E-01  9.275E-01  4.263E-01  3.031E-01  1.778E+00
  714  6.968E-01  9.275E-01  4.263E-01  3.031E-01  1.778E+00
  715  6.978E-01  9.275E-01  4.263E-01  3.031E-01  1.778E+00
  716  6.987E-01  9.275E-01  4.263E-01  3.031E-01  1.778E+00
  717  6.997E-01  9.275E-01  4.263E-01  3.031E-01  1.778E+00
  718  7.007E-01  9.275E-01  4.263E-01  3.031E-01  1.778E+00
  719  7.017E-01  9.275E-01  4.263E-01  3.031E-01  1.778E+00
  720  7.026E-01  9.275E-01  4.263E-01  3.031E-01  1.778E+00
  721  7.036E-01  9.275E-01  4.263E-01  3.031E-01  1.778E+00
  722  7.046E-01  9.275E-01  4.263E-01  3.031E-01  1.778E+00
  723  7.056E-01  9.275E-01  4.263E-01  3.031E-01  1.778E+00
  724  7.065E-01  9.275E-01  4.263E-01  3.031E-01  1.778E+00
  725  7.075E-01  9.275E-01  4.263E-01  3.031E-01  1.778E+00
  726  7.085E-01  9.275E-01  4.263E-01  3.031E-01  1.778E+00
  727  7.095E-01  9.275E-01  4.263E-01  3.031E-01  1.778E+00
  728  7.104E-01  9.275E-01  4.263E-01  3.031E-01  1.778E+00
  729  7.114E-01  9.275E-01  4.263E-01  3.031E-01  1.778E+00
  730  7.124E-01  9.275E-01  4.263E-01  3.031E-01  1.778E+00
  731  7.134E-01  9.275E-01  4.263E-01  3.031E-01  1.778E+00
  732  7.144E-01  9.275E-01  4.263E-01  3.031E-01  1.778E+00
  733  7.153E-01  9.275E-01  4.263E-01  3.031E-01  1.778E+00
